filename,status,filer_name,doc_type,error_detail
2023_Ellzey_10057509.pdf,Success,Hon. John Kevin Ellzey Sr,Full Report,
2023_Stutzman_30019243.pdf,Success,Marlin Stutzman,Unknown,
2023_Krautter_10056011.pdf,Success,Joel Krautter,Full Report,
2023_Johnson_10060742.pdf,Success,Hon. Henry C.,Full Report,
2024_Low_10060521.pdf,Success,Evan Low,Full Report,
2023_Boyanton_10056006.pdf,Success,Carl Boyanton,Full Report,
2023_Rice_10050737.pdf,Success,Hon. Kathleen Rice,Full Report,
2024_Kemp_10061141.pdf,Success,Patricia Kemp,Full Report,
2024_Atkins_8220326.pdf,Failed,N/A,N/A,OCR_REQUIRED: No machine-readable text found.
2023_Bowman_30021380.pdf,Success,Hon. Jamaal Bowman,Unknown,
2024_Davis_10062819.pdf,Success,Devin Charles Davis,Full Report,
2023_Fitzpatrick_10059165.pdf,Success,Hon. Brian Fitzpatrick,Full Report,
2024_Vancil_30022457.pdf,Success,Dillan Vancil,Unknown,
2024_Kelly_10056632.pdf,Success,Durand Todd Kelly,Full Report,
2024_MacKenzie_30023799.pdf,Success,Hon. Ryan Edward MacKenzie,Unknown,
2024_Cooke_10062721.pdf,Success,Rebecca Cooke,Full Report,
2024_Johnson_30023004.pdf,Success,Hon. Dusty Johnson,Unknown,
2024_Camp_10056857.pdf,Success,Ms. Lori Ann Camp,Full Report,
2023_Kind_10050819.pdf,Success,Hon. Ron Kind,Full Report,
2023_Chavez-Deremer_10060899.pdf,Success,Hon. Lori Chavez-Deremer,Full Report,
2024_Riley_10061114.pdf,Success,Paul Riley,Full Report,
2023_Herrell_10050827.pdf,Success,Hon. Stella Yvette Herrell,Full Report,
2024_Kean_30022657.pdf,Success,Hon. Thomas H. Kean Jr,Unknown,
2024_Stutzman_10068262.pdf,Success,Hon. Marlin Stutzman,Full Report,
2024_Ferguson_10056959.pdf,Success,Rodney Stuart Ferguson,Full Report,
2024_McGarvey_10066788.pdf,Success,Hon. Morgan McGarvey,Full Report,
2024_Reeves_10056851.pdf,Success,Jay Reeves,Full Report,
2023_Adams_10055162.pdf,Success,Sheryl L. Adams,Full Report,
2023_Harder_10058971.pdf,Success,Hon. Josh Harder,Full Report,
2023_Kale_10056175.pdf,Success,Andrea Doria Kale,Full Report,
2024_Plaskett_30023991.pdf,Success,Hon. Stacey Plaskett,Unknown,
2024_Quinones_10061542.pdf,Success,John Quinones,Full Report,
2024_Lofgren_10066636.pdf,Success,Hon. Zoe Lofgren,Full Report,
2023_Scholten_8219630.pdf,Failed,N/A,N/A,OCR_REQUIRED: No machine-readable text found.
2024_Scott_30023612.pdf,Success,Hon. Austin Scott,Unknown,
2024_Sessions_10068144.pdf,Success,Hon. Pete Sessions,Full Report,
2023_McNerney_10050789.pdf,Success,Hon. Jerry McNerney,Full Report,
2024_McGraw_10059782.pdf,Success,Joe McGraw,Full Report,
2023_Jacobs_30017729.pdf,Success,Hon. Christopher L. Jacobs,Unknown,
2024_Moore_8220394.pdf,Failed,N/A,N/A,OCR_REQUIRED: No machine-readable text found.
2023_Royals_10055582.pdf,Success,Tom Royals,Full Report,
2023_Kruttiventi_10056273.pdf,Success,Vin Kruttiventi,Full Report,
2024_McGowan_10056621.pdf,Success,Angelynn Brooke McGowan,Full Report,
2024_Peacock_10063207.pdf,Success,Jeff Peacock,Full Report,
2024_Berry_7923.pdf,Success,Rodney Berry,Unknown,
2023_Newsom_10056469.pdf,Success,Mr. Kevin Newsom,Full Report,
2023_Lofgren_10057543.pdf,Success,Hon. Zoe Lofgren,Full Report,
2024_Nehls_10072372.pdf,Success,Hon. Troy Nehls,Full Report,
2023_Norton_10057623.pdf,Success,Hon. Eleanor Holmes Norton,Full Report,
2024_Dahlstrom_10059429.pdf,Success,Nancy Dahlstrom,Full Report,
