2026-02-18T01:17:35Z | INFO     | ppf_pipeline | === PPF Pipeline start ===
2026-02-18T01:17:35Z | INFO     | ppf_pipeline | project_root=/home/vboxuser/work/ppf/ppf/temp/ppf
2026-02-18T01:17:35Z | INFO     | ppf_pipeline | log_path=/home/vboxuser/work/ppf/ppf/temp/ppf/logs/ppf_pipeline.log
2026-02-18T01:17:35Z | INFO     | ppf_pipeline | Stage start: ensure_reference_files
2026-02-18T01:17:35Z | INFO     | ppf_pipeline | Created mapping skeleton: /home/vboxuser/work/ppf/ppf/temp/ppf/data/reference/asset_to_sector_mapping.csv
2026-02-18T01:17:35Z | INFO     | ppf_pipeline | Stage end: ensure_reference_files elapsed=0.002s
2026-02-18T01:17:35Z | INFO     | ppf_pipeline | Stage start: enrich_transactions
2026-02-18T01:17:35Z | INFO     | ppf_pipeline | Stage end: enrich_transactions elapsed=0.003s
2026-02-18T01:17:35Z | ERROR    | ppf_pipeline | Pipeline failed
Traceback (most recent call last):
  File "/home/vboxuser/work/ppf/ppf/temp/ppf/ppf_pipeline.py", line 530, in main
    tx, meta = enrich_transactions(project_root, logger)
               ~~~~~~~~~~~~~~~~~~~^^^^^^^^^^^^^^^^^^^^^^
  File "/home/vboxuser/work/ppf/ppf/temp/ppf/ppf_pipeline.py", line 222, in enrich_transactions
    raise ValueError(f"Unified transactions missing required columns: {missing}")
ValueError: Unified transactions missing required columns: ['transaction_date', 'owner']
2026-02-18T01:17:35Z | INFO     | ppf_pipeline | Wrote manifest: /home/vboxuser/work/ppf/ppf/temp/ppf/outputs/ppf_pipeline_manifest.json
2026-02-18T01:17:35Z | INFO     | ppf_pipeline | === PPF Pipeline end === exit_code=1
2026-02-18T01:18:43Z | INFO     | ppf_pipeline | === PPF Pipeline start ===
2026-02-18T01:18:43Z | INFO     | ppf_pipeline | project_root=/home/vboxuser/work/ppf/ppf/temp/ppf
2026-02-18T01:18:43Z | INFO     | ppf_pipeline | log_path=/home/vboxuser/work/ppf/ppf/temp/ppf/logs/ppf_pipeline.log
2026-02-18T01:18:43Z | INFO     | ppf_pipeline | Stage start: ensure_reference_files
2026-02-18T01:18:43Z | INFO     | ppf_pipeline | Stage end: ensure_reference_files elapsed=0.000s
2026-02-18T01:18:43Z | INFO     | ppf_pipeline | Stage start: enrich_transactions
2026-02-18T01:18:43Z | INFO     | ppf_pipeline | Tx contract ok=True stats={'source_file': 0.0, 'source_page': 0.0, 'official_name': 0.0, 'filing_datetime': 1.0, 'transaction_date': 1.0, 'owner': 1.0, 'transaction_type': 1.0, 'amount_bucket_raw': 1.0, 'asset_name': 1.0}
2026-02-18T01:18:43Z | INFO     | ppf_pipeline | Wrote enriched tx: /home/vboxuser/work/ppf/ppf/temp/ppf/data/processed/transactions_enriched.csv rows=27 cols=25
2026-02-18T01:18:43Z | INFO     | ppf_pipeline | Wrote asset universe: /home/vboxuser/work/ppf/ppf/temp/ppf/outputs/ppf_asset_universe.csv rows=1
2026-02-18T01:18:43Z | INFO     | ppf_pipeline | Stage end: enrich_transactions elapsed=0.024s
2026-02-18T01:18:43Z | INFO     | ppf_pipeline | Stage start: load_and_apply_mapping
2026-02-18T01:18:43Z | INFO     | ppf_pipeline | Mapping coverage: unmapped_fraction=1.0000
2026-02-18T01:18:43Z | INFO     | ppf_pipeline | Wrote unmapped assets: /home/vboxuser/work/ppf/ppf/temp/ppf/outputs/ppf_assets_unmapped.csv rows=27
2026-02-18T01:18:43Z | INFO     | ppf_pipeline | Stage end: load_and_apply_mapping elapsed=0.018s
2026-02-18T01:18:43Z | INFO     | ppf_pipeline | Stage start: build_impulses_sector_daily
2026-02-18T01:18:43Z | WARNING  | ppf_pipeline | No mappable BUY/SELL transactions after filters.
2026-02-18T01:18:43Z | INFO     | ppf_pipeline | Stage end: build_impulses_sector_daily elapsed=0.007s
2026-02-18T01:18:43Z | INFO     | ppf_pipeline | Stage start: compute_ppf_sector_daily
2026-02-18T01:18:43Z | WARNING  | ppf_pipeline | Impulses empty; scores will be empty.
2026-02-18T01:18:43Z | INFO     | ppf_pipeline | Stage end: compute_ppf_sector_daily elapsed=0.001s
2026-02-18T01:18:43Z | INFO     | ppf_pipeline | Wrote manifest: /home/vboxuser/work/ppf/ppf/temp/ppf/outputs/ppf_pipeline_manifest.json
2026-02-18T01:18:43Z | INFO     | ppf_pipeline | === PPF Pipeline end === exit_code=0
2026-02-18T01:20:20Z | INFO     | ppf_pipeline | === PPF Pipeline start ===
2026-02-18T01:20:20Z | INFO     | ppf_pipeline | project_root=/home/vboxuser/work/ppf/ppf/temp/ppf
2026-02-18T01:20:20Z | INFO     | ppf_pipeline | log_path=/home/vboxuser/work/ppf/ppf/temp/ppf/logs/ppf_pipeline.log
2026-02-18T01:20:20Z | INFO     | ppf_pipeline | Stage start: ensure_reference_files
2026-02-18T01:20:20Z | INFO     | ppf_pipeline | Stage end: ensure_reference_files elapsed=0.000s
2026-02-18T01:20:20Z | INFO     | ppf_pipeline | Stage start: enrich_transactions
2026-02-18T01:20:20Z | INFO     | ppf_pipeline | Tx contract ok=True stats={'source_file': 0.0, 'source_page': 0.0, 'official_name': 0.0, 'filing_datetime': 1.0, 'transaction_date': 1.0, 'owner': 1.0, 'transaction_type': 1.0, 'amount_bucket_raw': 1.0, 'asset_name': 1.0}
2026-02-18T01:20:20Z | INFO     | ppf_pipeline | Wrote enriched tx: /home/vboxuser/work/ppf/ppf/temp/ppf/data/processed/transactions_enriched.csv rows=27 cols=25
