ticker,filer,filing_datetime,impulse,doc_id
PG,HON.,2024-09-09 00:00:00+00:00,0,20025822
IBM,HON.,2024-10-10 00:00:00+00:00,0,20026002
HD,HON.,2024-10-10 00:00:00+00:00,0,20026002
JNJ,HON.,2024-10-10 00:00:00+00:00,0,20026002
PPG,HON.,2024-10-10 00:00:00+00:00,0,20026002
KO,HON.,2024-11-05 00:00:00+00:00,0,20026151
PG,HON.,2024-12-04 00:00:00+00:00,0,20026322
MCK,HON.,2024-11-07 00:00:00+00:00,0,20026099
NU,HON.,2024-11-07 00:00:00+00:00,0,20026099
APPF,HON.,2024-11-07 00:00:00+00:00,0,20026099
SNPS,HON.,2024-11-07 00:00:00+00:00,0,20026099
JD,HON.,2024-05-23 00:00:00+00:00,0,20000788
CL,HON.,2024-05-23 00:00:00+00:00,0,20000788
HASI,HON.,2024-01-17 00:00:00+00:00,0,20024324
MU,HON.,2024-01-17 00:00:00+00:00,0,20024324
NOW,HON.,2024-01-17 00:00:00+00:00,0,20024324
FLNG,HON.,2024-01-04 00:00:00+00:00,0,20024230
CRT,HON.,2024-01-04 00:00:00+00:00,0,20024230
CRT,HON.,2024-02-05 00:00:00+00:00,0,20024424
SCHX,HON.,2024-02-05 00:00:00+00:00,0,20024424
MO,HON.,2024-02-05 00:00:00+00:00,0,20024424
ET,HON.,2024-02-05 00:00:00+00:00,0,20024424
HTGC,HON.,2024-02-05 00:00:00+00:00,0,20024424
FLNG,HON.,2024-03-07 00:00:00+00:00,0,20024596
ASC,HON.,2024-03-07 00:00:00+00:00,0,20024596
ET,HON.,2024-03-07 00:00:00+00:00,0,20024596
ARLP,HON.,2024-03-07 00:00:00+00:00,0,20024596
HTGC,HON.,2024-03-07 00:00:00+00:00,0,20024596
ASC,HON.,2024-04-10 00:00:00+00:00,0,20024825
HTGC,HON.,2024-04-10 00:00:00+00:00,0,20024825
ET,HON.,2024-05-06 00:00:00+00:00,0,20024996
ASC,HON.,2024-05-06 00:00:00+00:00,0,20024996
HTGC,HON.,2024-05-06 00:00:00+00:00,0,20024996
ET,HON.,2024-06-06 00:00:00+00:00,0,20025200
ARLP,HON.,2024-06-06 00:00:00+00:00,0,20025200
HTGC,HON.,2024-06-06 00:00:00+00:00,0,20025200
ASC,HON.,2024-08-06 00:00:00+00:00,0,20025588
ET,HON.,2024-09-04 00:00:00+00:00,0,20025771
ARLP,HON.,2024-09-04 00:00:00+00:00,0,20025771
HTGC,HON.,2024-09-04 00:00:00+00:00,0,20025771
EFC,HON.,2024-10-21 00:00:00+00:00,0,20026032
HTGC,HON.,2024-11-12 00:00:00+00:00,0,20026124
ET,HON.,2024-12-11 00:00:00+00:00,0,20026376
ARLP,HON.,2024-12-11 00:00:00+00:00,0,20026376
HTGC,HON.,2024-12-11 00:00:00+00:00,0,20026376
JCI,HON.,2024-05-14 00:00:00+00:00,0,20025035
BRP,HON.,2024-04-23 00:00:00+00:00,0,20024916
BRP,HON.,2024-06-02 00:00:00+00:00,0,20025170
JNJ,HON.,2024-08-20 00:00:00+00:00,-1,20025711
NEE,HON.,2024-08-20 00:00:00+00:00,-1,20025711
PEP,HON.,2024-08-20 00:00:00+00:00,-1,20025711
BRKB,HON.,2024-08-20 00:00:00+00:00,-1,20025711
DGRO,HON.,2024-08-20 00:00:00+00:00,-1,20025711
MCD,HON.,2024-08-20 00:00:00+00:00,-1,20025711
APD,HON.,2024-08-20 00:00:00+00:00,-1,20025711
IJR,HON.,2024-08-20 00:00:00+00:00,-1,20025711
ACN,HON.,2024-08-20 00:00:00+00:00,-1,20025711
WMT,HON.,2024-08-20 00:00:00+00:00,-1,20025711
FQAL,HON.,2024-08-20 00:00:00+00:00,-1,20025711
LSYIX,HON.,2024-08-20 00:00:00+00:00,-1,20025711
FBKWX,HON.,2024-08-20 00:00:00+00:00,-1,20025711
COST,HON.,2024-08-20 00:00:00+00:00,-1,20025711
MSFT,HON.,2024-08-20 00:00:00+00:00,-1,20025711
JPM,HON.,2024-08-20 00:00:00+00:00,-1,20025711
GD,HON.,2024-08-20 00:00:00+00:00,-1,20025711
CSCO,HON.,2024-08-20 00:00:00+00:00,-1,20025711
FFRHX,HON.,2024-08-20 00:00:00+00:00,-1,20025711
LMT,HON.,2024-08-20 00:00:00+00:00,-1,20025711
SBUX,HON.,2024-08-20 00:00:00+00:00,-1,20025711
QQQM,HON.,2024-08-20 00:00:00+00:00,-1,20025711
ONEQ,HON.,2024-08-20 00:00:00+00:00,-1,20025711
HSY,HON.,2024-08-20 00:00:00+00:00,-1,20025711
UPS,HON.,2024-08-20 00:00:00+00:00,-1,20025711
AMGN,HON.,2024-08-20 00:00:00+00:00,-1,20025711
KVUE,HON.,2024-08-20 00:00:00+00:00,-1,20025711
AAPL,HON.,2024-08-20 00:00:00+00:00,-1,20025711
LUBYX,HON.,2024-08-20 00:00:00+00:00,-1,20025711
MRK,HON.,2024-08-20 00:00:00+00:00,-1,20025711
PG,HON.,2024-08-20 00:00:00+00:00,-1,20025711
QQQ,HON.,2024-08-20 00:00:00+00:00,-1,20025711
PFE,HON.,2024-08-20 00:00:00+00:00,-1,20025711
CB,HON.,2024-08-20 00:00:00+00:00,-1,20025711
DFS,HON.,2024-08-20 00:00:00+00:00,-1,20025711
GOOG,HON.,2024-08-20 00:00:00+00:00,-1,20025711
ADP,HON.,2024-10-15 00:00:00+00:00,0,20026020
ITW,HON.,2024-10-15 00:00:00+00:00,0,20026020
MRO,HON.,2024-09-06 00:00:00+00:00,0,20025806
SOHO,HON.,2024-09-06 00:00:00+00:00,0,20025806
WAL,HON.,2024-12-12 00:00:00+00:00,0,20026382
AMD,HON.,2024-01-07 00:00:00+00:00,-1,20024248
DHI,HON.,2024-01-07 00:00:00+00:00,-1,20024248
PNGAY,HON.,2024-01-07 00:00:00+00:00,-1,20024248
PYCR,HON.,2024-01-07 00:00:00+00:00,-1,20024248
PPRUY,HON.,2024-01-07 00:00:00+00:00,-1,20024248
COP,HON.,2024-01-07 00:00:00+00:00,-1,20024248
UMBF,HON.,2024-01-07 00:00:00+00:00,-1,20024248
ON,HON.,2024-01-07 00:00:00+00:00,-1,20024248
SHLS,HON.,2024-01-07 00:00:00+00:00,-1,20024248
BNTX,HON.,2024-01-07 00:00:00+00:00,-1,20024248
COCO,HON.,2024-01-07 00:00:00+00:00,-1,20024248
