ticker,score,filing_datetime,source_file
UNP,-0.9923279462629435,2026-02-15T14:59:00+00:00,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/bd886067-927f-48a8-9d43-8ab6fa713f98.html
MDY,-0.9923279462629435,2026-02-15T14:59:00+00:00,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/bd886067-927f-48a8-9d43-8ab6fa713f98.html
OMC,-0.9923279462629435,2026-02-15T14:59:00+00:00,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/bd886067-927f-48a8-9d43-8ab6fa713f98.html
OMC,-0.9923279462629435,2026-02-15T14:59:00+00:00,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/bd886067-927f-48a8-9d43-8ab6fa713f98.html
MU,-0.9923279462629435,2026-02-15T14:59:00+00:00,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/bd886067-927f-48a8-9d43-8ab6fa713f98.html
MU,-0.9923279462629435,2026-02-15T14:59:00+00:00,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/bd886067-927f-48a8-9d43-8ab6fa713f98.html
LRCX,-0.9923279462629435,2026-02-15T14:59:00+00:00,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/bd886067-927f-48a8-9d43-8ab6fa713f98.html
IVW,-0.9923279462629435,2026-02-15T14:59:00+00:00,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/bd886067-927f-48a8-9d43-8ab6fa713f98.html
IWM,-0.9923279462629435,2026-02-15T14:59:00+00:00,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/bd886067-927f-48a8-9d43-8ab6fa713f98.html
SLV,-0.9923279462629435,2026-02-15T14:59:00+00:00,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/bd886067-927f-48a8-9d43-8ab6fa713f98.html
FISV,-0.9923279462629435,2026-02-15T14:59:00+00:00,/home/vboxuser/work/ppf/ppf/temp/ppf/data/raw/efd/html/bd886067-927f-48a8-9d43-8ab6fa713f98.html
